Code,Swahili,Luo,Kikuyu,Gusii
GEN,⚠️ Missing,⚠️ Missing,ta kilo,⚠️ Missing
EXO,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
LEV,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
NUM,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
DEU,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JOSH,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JDG,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
RUTH,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
1SAM,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
2SAM,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
1KIN,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
2KIN,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
1CHR,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
2CHR,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
EZRA,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
NEH,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
EST,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JOB,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
PSA,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
PRO,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
ECC,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
SNG,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
ISA,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JER,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
LAM,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
EZK,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
DAN,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
HOS,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JOEL,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
AMOS,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
OBA,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JON,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
MIC,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
NAH,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
HAB,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
ZEP,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
HAG,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
ZECH,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
MAL,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
MAT,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
MRK,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
LUK,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JHN,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
ACT,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
ROM,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
1COR,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
2COR,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
GAL,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
EPH,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
PHP,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
COL,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
1THS,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
2THS,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
1TIM,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
2TIM,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
TIT,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
PHLM,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
HEB,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JAS,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
1PET,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
2PET,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
1JHN,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
2JHN,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
3JHN,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
JUDE,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
REV,⚠️ Missing,⚠️ Missing,⚠️ Missing,⚠️ Missing
